alpha,beta,SumErr
8.36734693878,20.0,19.5419699201
8.75510204082,1.0,2.0
8.75510204082,2.0,1.99965109853
8.75510204082,3.0,1.99450632571
8.75510204082,4.0,1.9684864929
8.75510204082,5.0,1.89248311508
8.75510204082,6.0,1.73071777962
8.75510204082,7.0,1.44845255903
8.75510204082,8.0,1.01712238534
8.75510204082,9.0,0.416459532755
8.75510204082,10.0,0.365467393028
8.75510204082,11.0,1.3333059466
8.75510204082,12.0,2.48587372885
8.75510204082,13.0,3.81762462774
8.75510204082,14.0,5.31994515184
8.75510204082,15.0,6.98221876088
8.75510204082,16.0,8.79265785684
8.75510204082,17.0,10.7389303021
8.75510204082,18.0,12.8086159702
8.75510204082,19.0,14.9895285363
8.75510204082,20.0,17.2699334578
9.14285714286,1.0,2.0
9.14285714286,2.0,1.99979240854
9.14285714286,3.0,1.996364788
9.14285714286,4.0,1.97770986975
9.14285714286,5.0,1.9203401599
9.14285714286,6.0,1.79350339057
9.14285714286,7.0,1.5656253328
9.14285714286,8.0,1.20924613822
9.14285714286,9.0,0.703527586688
9.14285714286,10.0,0.0970305242925
9.14285714286,11.0,0.803821111788
9.14285714286,12.0,1.81386811052
9.14285714286,13.0,2.99238225556
9.14285714286,14.0,4.33323111075
9.14285714286,15.0,5.82805304322
9.14285714286,16.0,7.4670521578
9.14285714286,17.0,9.23961785332
9.14285714286,18.0,11.1347922842
9.14285714286,19.0,13.1416126758
9.14285714286,20.0,15.2493542098
9.5306122449,1.0,2.0
9.5306122449,2.0,1.99987635087
9.5306122449,3.0,1.99759202918
9.5306122449,4.0,1.98421790426
9.5306122449,5.0,1.94092254624
9.5306122449,6.0,1.84150239045
9.5306122449,7.0,1.65759747643
9.5306122449,8.0,1.36326091384
9.5306122449,9.0,0.937658466631
9.5306122449,10.0,0.366056411012
9.5306122449,11.0,0.360323965091
9.5306122449,12.0,1.24504901333
9.5306122449,13.0,2.28744251451
9.5306122449,14.0,3.48356645703
9.5306122449,15.0,4.82710473107
9.5306122449,16.0,6.31010770767
9.5306122449,17.0,7.9235920118
9.5306122449,18.0,9.65800753375
9.5306122449,19.0,11.5035907551
9.5306122449,20.0,13.4506247757
9.91836734694,1.0,2.0
9.91836734694,2.0,1.99992627457
9.91836734694,3.0,1.99840339038
9.91836734694,4.0,1.9888152631
9.91836734694,5.0,1.95614714572
9.91836734694,6.0,1.87823782233
9.91836734694,7.0,1.72986759737
9.91836734694,8.0,1.48685823746
9.91836734694,9.0,1.12881573443
9.91836734694,10.0,0.640402844
9.91836734694,11.0,0.0981811814631
9.91836734694,12.0,0.763084706097
9.91836734694,13.0,1.68466602384
9.91836734694,14.0,2.75119348176
9.91836734694,15.0,3.95818713542
9.91836734694,16.0,5.29939134483
9.91836734694,17.0,6.76734467968
9.91836734694,18.0,8.35383706483
9.91836734694,19.0,10.0502658796
9.91836734694,20.0,11.8479062327
10.306122449,1.0,2.0
10.306122449,2.0,1.99995599918
10.306122449,3.0,1.99894038956
10.306122449,4.0,1.99206638241
10.306122449,5.0,1.96742051254
10.306122449,6.0,1.90638195365
10.306122449,7.0,1.78671408004
10.306122449,8.0,1.58614495519
10.306122449,9.0,1.28504119866
10.306122449,10.0,0.867861945107
10.306122449,11.0,0.323616097184
10.306122449,12.0,0.35432595058
10.306122449,13.0,1.16876438278
10.306122449,14.0,2.11933701491
10.306122449,15.0,3.20319537335
10.306122449,16.0,4.41562327899
10.306122449,17.0,5.75056927834
10.306122449,18.0,7.2010863025
10.306122449,19.0,8.75968357616
10.306122449,20.0,10.4186010989
10.693877551,1.0,2.0
10.693877551,2.0,1.99997371567
10.693877551,3.0,1.99929616627
10.693877551,4.0,1.99436779208
10.693877551,5.0,1.97577635398
10.693877551,6.0,1.92796496655
10.693877551,7.0,1.8314713021
10.693877551,8.0,1.66597778874
10.693877551,9.0,1.41283656583
10.693877551,10.0,1.05661931384
10.693877551,11.0,0.585774626641
10.693877551,12.0,0.099113194035
10.693877551,13.0,0.726828920791
10.693877551,14.0,1.57372826657
10.693877551,15.0,2.54662958465
10.693877551,16.0,3.642202953
10.693877551,17.0,4.85569169583
10.693877551,18.0,6.18132858419
10.693877551,19.0,7.61267778835
10.693877551,20.0,9.14290837384
11.0816326531,1.0,2.0
11.0816326531,2.0,1.99998428544
11.0816326531,3.0,1.9995321047
11.0816326531,4.0,1.99599845695
11.0816326531,5.0,1.98197546441
11.0816326531,6.0,1.94453152164
11.0816326531,7.0,1.86674185434
11.0816326531,8.0,1.73022519725
11.0816326531,9.0,1.5174666299
11.0816326531,10.0,1.21339450443
11.0816326531,11.0,0.806180264659
11.0816326531,12.0,0.287440845435
11.0816326531,13.0,0.347942143101
11.0816326531,14.0,1.10220989534
11.0816326531,15.0,1.97519747619
11.0816326531,16.0,2.96481206458
11.0816326531,17.0,4.06747608551
11.0816326531,18.0,5.27851546294
11.0816326531,19.0,6.5924869626
11.0816326531,20.0,8.00344632233
11.4693877551,1.0,2.0
11.4693877551,2.0,1.99999059723
11.4693877551,3.0,1.99968871209
11.4693877551,4.0,1.99715489111
11.4693877551,5.0,1.98657853209
11.4693877551,6.0,1.95725848928
11.4693877551,7.0,1.89455999774
11.4693877551,8.0,1.78197288267
11.4693877551,9.0,1.60320079648
11.4693877551,10.0,1.3437117588
11.4693877551,11.0,0.991630733829
11.4693877551,12.0,0.538080913215
11.4693877551,13.0,0.099879061232
11.4693877551,14.0,0.694407361342
11.4693877551,15.0,1.47748186528
11.4693877551,16.0,2.3710810294
11.4693877551,17.0,3.37269238195
11.4693877551,18.0,4.47864691702
11.4693877551,19.0,5.68442819153
11.4693877551,20.0,6.98493147209
11.8571428571,1.0,2.0
11.8571428571,2.0,1.9999943696
11.8571428571,3.0,1.99979275091
11.8571428571,4.0,1.99797569663
11.8571428571,5.0,1.98999929045
11.8571428571,6.0,1.96704367237
11.8571428571,7.0,1.91651785109
11.8571428571,8.0,1.82368545627
11.8571428571,9.0,1.67350597027
11.8571428571,10.0,1.45211889253
11.8571428571,11.0,1.14778728659
11.8571428571,12.0,0.751344671978
11.8571428571,13.0,0.256273113727
11.8571428571,14.0,0.341454604087
11.8571428571,15.0,1.04366171971
11.8571428571,16.0,1.85030784485
11.8571428571,17.0,2.75983494725
11.8571428571,18.0,3.76949131509
11.8571428571,19.0,4.87561968468
11.8571428571,20.0,6.07390449168
12.2448979592,1.0,2.0
12.2448979592,2.0,1.99999662608
12.2448979592,3.0,1.99986192243
12.2448979592,4.0,1.99855874212
12.2448979592,5.0,1.99254339273
12.2448979592,6.0,1.97457280146
12.2448979592,7.0,1.9338630122
12.2448979592,8.0,1.85733390117
12.2448979592,9.0,1.73120095979
12.2448979592,10.0,1.54236469387
12.2448979592,11.0,1.27937085607
12.2448979592,12.0,0.932933434323
12.2448979592,13.0,0.496109454185
12.2448979592,14.0,0.100516401754
12.2448979592,15.0,0.665277409097
12.2448979592,16.0,1.39322041786
12.2448979592,17.0,2.21888376029
12.2448979592,18.0,3.14034689035
12.2448979592,19.0,4.15474364782
12.2448979592,20.0,5.25849534396
12.6326530612,1.0,2.0
12.6326530612,2.0,1.99999797686
12.6326530612,3.0,1.99990794693
12.6326530612,4.0,1.99897320795
12.6326530612,5.0,1.99443689391
12.6326530612,6.0,1.98037021636
12.6326530612,7.0,1.9475742271
12.6326530612,8.0,1.884496274
12.6326530612,9.0,1.77858034358
12.6326530612,10.0,1.61754302323
12.6326530612,11.0,1.39032304277
12.6326530612,12.0,1.08765471499
12.6326530612,13.0,0.702319633619
12.6326530612,14.0,0.229164229107
12.6326530612,15.0,0.335032632401
12.6326530612,16.0,0.991775085742
12.6326530612,17.0,1.74110114549
12.6326530612,18.0,2.58183798601
12.6326530612,19.0,3.5118430917
12.6326530612,20.0,4.52822148451
13.0204081633,1.0,2.0
13.0204081633,2.0,1.99999878606
13.0204081633,3.0,1.99993859215
